,Country,Country Code,year,GDP,LOCATION,INDICATOR,SUBJECT,TIME,Value
0,Australia,AUS,2000,26328.67368,AUS,PISAREAD,BOY,2000,513.0
1,Australia,AUS,2000,26328.67368,AUS,PISAREAD,GIRL,2000,546.0
2,Australia,AUS,2000,26328.67368,AUS,PISAREAD,TOT,2000,528.0
3,Austria,AUT,2000,29380.06604,AUT,PISAREAD,BOY,2000,476.0
4,Austria,AUT,2000,29380.06604,AUT,PISAREAD,GIRL,2000,509.0
5,Austria,AUT,2000,29380.06604,AUT,PISAREAD,TOT,2000,492.0
6,Belgium,BEL,2000,27788.43052,BEL,PISAREAD,BOY,2000,492.0
7,Belgium,BEL,2000,27788.43052,BEL,PISAREAD,GIRL,2000,525.0
8,Belgium,BEL,2000,27788.43052,BEL,PISAREAD,TOT,2000,507.0
9,Brazil,BRA,2000,9073.976905,BRA,PISAREAD,BOY,2000,388.0
10,Brazil,BRA,2000,9073.976905,BRA,PISAREAD,GIRL,2000,404.0
11,Brazil,BRA,2000,9073.976905,BRA,PISAREAD,TOT,2000,396.0
12,Canada,CAN,2000,29265.08444,CAN,PISAREAD,BOY,2000,519.0
13,Canada,CAN,2000,29265.08444,CAN,PISAREAD,GIRL,2000,551.0
14,Canada,CAN,2000,29265.08444,CAN,PISAREAD,TOT,2000,534.0
15,Switzerland,CHE,2000,35754.54761,CHE,PISAREAD,BOY,2000,480.0
16,Switzerland,CHE,2000,35754.54761,CHE,PISAREAD,GIRL,2000,510.0
17,Switzerland,CHE,2000,35754.54761,CHE,PISAREAD,TOT,2000,494.0
18,Chile,CHL,2000,9553.566623,CHL,PISAREAD,BOY,2000,396.0
19,Chile,CHL,2000,9553.566623,CHL,PISAREAD,GIRL,2000,421.0
20,Chile,CHL,2000,9553.566623,CHL,PISAREAD,TOT,2000,410.0
21,Czech Republic,CZE,2000,16190.80503,CZE,PISAREAD,BOY,2000,473.0
22,Czech Republic,CZE,2000,16190.80503,CZE,PISAREAD,GIRL,2000,510.0
23,Czech Republic,CZE,2000,16190.80503,CZE,PISAREAD,TOT,2000,492.0
24,Germany,DEU,2000,27202.79337,DEU,PISAREAD,BOY,2000,468.0
25,Germany,DEU,2000,27202.79337,DEU,PISAREAD,GIRL,2000,502.0
26,Germany,DEU,2000,27202.79337,DEU,PISAREAD,TOT,2000,484.0
27,Denmark,DNK,2000,28662.09474,DNK,PISAREAD,BOY,2000,485.0
28,Denmark,DNK,2000,28662.09474,DNK,PISAREAD,GIRL,2000,510.0
29,Denmark,DNK,2000,28662.09474,DNK,PISAREAD,TOT,2000,497.0
30,Spain,ESP,2000,21587.25644,ESP,PISAREAD,BOY,2000,481.0
31,Spain,ESP,2000,21587.25644,ESP,PISAREAD,GIRL,2000,505.0
32,Spain,ESP,2000,21587.25644,ESP,PISAREAD,TOT,2000,493.0
33,Finland,FIN,2000,26788.40847,FIN,PISAREAD,BOY,2000,520.0
34,Finland,FIN,2000,26788.40847,FIN,PISAREAD,GIRL,2000,571.0
