,Country,Country Code,Year,GDP,Topic,Gender,PISA-Score
0,Australia,AUS,2000,26328.67368,PISAREAD,BOY,513.0
1,Australia,AUS,2000,26328.67368,PISAREAD,GIRL,546.0
2,Australia,AUS,2000,26328.67368,PISAREAD,TOT,528.0
3,Austria,AUT,2000,29380.06604,PISAREAD,BOY,476.0
4,Austria,AUT,2000,29380.06604,PISAREAD,GIRL,509.0
5,Austria,AUT,2000,29380.06604,PISAREAD,TOT,492.0
6,Belgium,BEL,2000,27788.43052,PISAREAD,BOY,492.0
7,Belgium,BEL,2000,27788.43052,PISAREAD,GIRL,525.0
8,Belgium,BEL,2000,27788.43052,PISAREAD,TOT,507.0
9,Brazil,BRA,2000,9073.976905,PISAREAD,BOY,388.0
10,Brazil,BRA,2000,9073.976905,PISAREAD,GIRL,404.0
11,Brazil,BRA,2000,9073.976905,PISAREAD,TOT,396.0
12,Canada,CAN,2000,29265.08444,PISAREAD,BOY,519.0
13,Canada,CAN,2000,29265.08444,PISAREAD,GIRL,551.0
14,Canada,CAN,2000,29265.08444,PISAREAD,TOT,534.0
15,Switzerland,CHE,2000,35754.54761,PISAREAD,BOY,480.0
16,Switzerland,CHE,2000,35754.54761,PISAREAD,GIRL,510.0
17,Switzerland,CHE,2000,35754.54761,PISAREAD,TOT,494.0
18,Chile,CHL,2000,9553.566623,PISAREAD,BOY,396.0
19,Chile,CHL,2000,9553.566623,PISAREAD,GIRL,421.0
20,Chile,CHL,2000,9553.566623,PISAREAD,TOT,410.0
21,Czech Republic,CZE,2000,16190.80503,PISAREAD,BOY,473.0
22,Czech Republic,CZE,2000,16190.80503,PISAREAD,GIRL,510.0
23,Czech Republic,CZE,2000,16190.80503,PISAREAD,TOT,492.0
24,Germany,DEU,2000,27202.79337,PISAREAD,BOY,468.0
25,Germany,DEU,2000,27202.79337,PISAREAD,GIRL,502.0
26,Germany,DEU,2000,27202.79337,PISAREAD,TOT,484.0
27,Denmark,DNK,2000,28662.09474,PISAREAD,BOY,485.0
28,Denmark,DNK,2000,28662.09474,PISAREAD,GIRL,510.0
29,Denmark,DNK,2000,28662.09474,PISAREAD,TOT,497.0
30,Spain,ESP,2000,21587.25644,PISAREAD,BOY,481.0
31,Spain,ESP,2000,21587.25644,PISAREAD,GIRL,505.0
32,Spain,ESP,2000,21587.25644,PISAREAD,TOT,493.0
33,Finland,FIN,2000,26788.40847,PISAREAD,BOY,520.0
34,Finland,FIN,2000,26788.40847,PISAREAD,GIRL,571.0
35,Finland,FIN,2000,26788.40847,PISAREAD,TOT,546.0
36,France,FRA,2000,26094.25256,PISAREAD,BOY,490.0
37,France,FRA,2000,26094.25256,PISAREAD,GIRL,519.0
38,France,FRA,2000,26094.25256,PISAREAD,TOT,505.0
39,Greece,GRC,2000,19518.90751,PISAREAD,BOY,456.0
40,Greece,GRC,2000,19518.90751,PISAREAD,GIRL,493.0
41,Greece,GRC,2000,19518.90751,PISAREAD,TOT,474.0
42,Hungary,HUN,2000,11854.81987,PISAREAD,BOY,465.0
43,Hungary,HUN,2000,11854.81987,PISAREAD,GIRL,496.0
44,Hungary,HUN,2000,11854.81987,PISAREAD,TOT,480.0
45,Indonesia,IDN,2000,4620.547598,PISAREAD,BOY,360.0
46,Indonesia,IDN,2000,4620.547598,PISAREAD,GIRL,380.0
47,Indonesia,IDN,2000,4620.547598,PISAREAD,TOT,371.0
48,Ireland,IRL,2000,30177.82788,PISAREAD,BOY,513.0
49,Ireland,IRL,2000,30177.82788,PISAREAD,GIRL,542.0
50,Ireland,IRL,2000,30177.82788,PISAREAD,TOT,527.0
51,Iceland,ISL,2000,29710.55155,PISAREAD,BOY,488.0
52,Iceland,ISL,2000,29710.55155,PISAREAD,GIRL,528.0
53,Iceland,ISL,2000,29710.55155,PISAREAD,TOT,507.0
54,Israel,ISR,2000,24931.03887,PISAREAD,BOY,444.0
55,Israel,ISR,2000,24931.03887,PISAREAD,GIRL,459.0
56,Israel,ISR,2000,24931.03887,PISAREAD,TOT,452.0
57,Italy,ITA,2000,27076.1868,PISAREAD,BOY,469.0
58,Italy,ITA,2000,27076.1868,PISAREAD,GIRL,507.0
59,Italy,ITA,2000,27076.1868,PISAREAD,TOT,487.0
60,Japan,JPN,2000,26838.69136,PISAREAD,BOY,507.0
61,Japan,JPN,2000,26838.69136,PISAREAD,GIRL,537.0
62,Japan,JPN,2000,26838.69136,PISAREAD,TOT,522.0
63,"Korea, Rep.",KOR,2000,18082.9548,PISAREAD,BOY,519.0
64,"Korea, Rep.",KOR,2000,18082.9548,PISAREAD,GIRL,533.0
65,"Korea, Rep.",KOR,2000,18082.9548,PISAREAD,TOT,525.0
66,Luxembourg,LUX,2000,55348.89874,PISAREAD,BOY,429.0
67,Luxembourg,LUX,2000,55348.89874,PISAREAD,GIRL,456.0
68,Latvia,LVA,2000,8015.685601,PISAREAD,TOT,458.0
69,Mexico,MEX,2000,11089.81343,PISAREAD,BOY,411.0
70,Mexico,MEX,2000,11089.81343,PISAREAD,GIRL,432.0
71,Mexico,MEX,2000,11089.81343,PISAREAD,TOT,422.0
72,Norway,NOR,2000,36941.60093,PISAREAD,BOY,486.0
73,Norway,NOR,2000,36941.60093,PISAREAD,GIRL,529.0
74,Norway,NOR,2000,36941.60093,PISAREAD,TOT,505.0
75,New Zealand,NZL,2000,21521.70657,PISAREAD,BOY,507.0
76,New Zealand,NZL,2000,21521.70657,PISAREAD,GIRL,553.0
77,New Zealand,NZL,2000,21521.70657,PISAREAD,TOT,529.0
78,Poland,POL,2000,10652.90829,PISAREAD,BOY,461.0
79,Poland,POL,2000,10652.90829,PISAREAD,GIRL,497.0
80,Poland,POL,2000,10652.90829,PISAREAD,TOT,479.0
81,Portugal,PRT,2000,18879.28669,PISAREAD,BOY,458.0
82,Portugal,PRT,2000,18879.28669,PISAREAD,GIRL,482.0
83,Portugal,PRT,2000,18879.28669,PISAREAD,TOT,470.0
84,Russian Federation,RUS,2000,6825.406038,PISAREAD,BOY,443.0
85,Russian Federation,RUS,2000,6825.406038,PISAREAD,GIRL,481.0
86,Russian Federation,RUS,2000,6825.406038,PISAREAD,TOT,462.0
87,Sweden,SWE,2000,29453.55155,PISAREAD,BOY,499.0
88,Sweden,SWE,2000,29453.55155,PISAREAD,GIRL,536.0
89,Sweden,SWE,2000,29453.55155,PISAREAD,TOT,516.0
90,United States,USA,2000,36334.90878,PISAREAD,BOY,490.0
91,United States,USA,2000,36334.90878,PISAREAD,GIRL,518.0
92,United States,USA,2000,36334.90878,PISAREAD,TOT,504.0
93,Australia,AUS,2003,29693.90591,PISAMATH,BOY,527.0
94,Australia,AUS,2003,29693.90591,PISAMATH,GIRL,522.0
95,Australia,AUS,2003,29693.90591,PISAMATH,TOT,524.0
96,Australia,AUS,2003,29693.90591,PISAREAD,BOY,506.0
97,Australia,AUS,2003,29693.90591,PISAREAD,GIRL,545.0
98,Australia,AUS,2003,29693.90591,PISAREAD,TOT,525.0
99,Austria,AUT,2003,32108.63255,PISAMATH,BOY,509.0
100,Austria,AUT,2003,32108.63255,PISAMATH,GIRL,502.0
101,Austria,AUT,2003,32108.63255,PISAMATH,TOT,506.0
102,Austria,AUT,2003,32108.63255,PISAREAD,BOY,467.0
103,Austria,AUT,2003,32108.63255,PISAREAD,GIRL,514.0
104,Austria,AUT,2003,32108.63255,PISAREAD,TOT,491.0
105,Belgium,BEL,2003,30898.60744,PISAMATH,BOY,533.0
106,Belgium,BEL,2003,30898.60744,PISAMATH,GIRL,525.0
107,Belgium,BEL,2003,30898.60744,PISAMATH,TOT,529.0
108,Belgium,BEL,2003,30898.60744,PISAREAD,BOY,489.0
109,Belgium,BEL,2003,30898.60744,PISAREAD,GIRL,526.0
110,Belgium,BEL,2003,30898.60744,PISAREAD,TOT,507.0
111,Brazil,BRA,2003,9747.941038,PISAMATH,BOY,365.0
112,Brazil,BRA,2003,9747.941038,PISAMATH,GIRL,348.0
113,Brazil,BRA,2003,9747.941038,PISAMATH,TOT,356.0
114,Brazil,BRA,2003,9747.941038,PISAREAD,BOY,384.0
115,Brazil,BRA,2003,9747.941038,PISAREAD,GIRL,419.0
116,Brazil,BRA,2003,9747.941038,PISAREAD,TOT,403.0
117,Canada,CAN,2003,32225.05212,PISAMATH,BOY,541.0
118,Canada,CAN,2003,32225.05212,PISAMATH,GIRL,530.0
119,Canada,CAN,2003,32225.05212,PISAMATH,TOT,532.0
120,Canada,CAN,2003,32225.05212,PISAREAD,BOY,514.0
121,Canada,CAN,2003,32225.05212,PISAREAD,GIRL,546.0
122,Canada,CAN,2003,32225.05212,PISAREAD,TOT,528.0
123,Switzerland,CHE,2003,37713.3375,PISAMATH,BOY,535.0
124,Switzerland,CHE,2003,37713.3375,PISAMATH,GIRL,518.0
125,Switzerland,CHE,2003,37713.3375,PISAMATH,TOT,527.0
126,Switzerland,CHE,2003,37713.3375,PISAREAD,BOY,482.0
127,Switzerland,CHE,2003,37713.3375,PISAREAD,GIRL,517.0
128,Switzerland,CHE,2003,37713.3375,PISAREAD,TOT,499.0
129,Czech Republic,CZE,2003,19426.08513,PISAMATH,BOY,524.0
130,Czech Republic,CZE,2003,19426.08513,PISAMATH,GIRL,509.0
131,Czech Republic,CZE,2003,19426.08513,PISAMATH,TOT,516.0
132,Czech Republic,CZE,2003,19426.08513,PISAREAD,BOY,473.0
133,Czech Republic,CZE,2003,19426.08513,PISAREAD,GIRL,504.0
134,Czech Republic,CZE,2003,19426.08513,PISAREAD,TOT,489.0
135,Germany,DEU,2003,29875.02793,PISAMATH,BOY,508.0
136,Germany,DEU,2003,29875.02793,PISAMATH,GIRL,499.0
137,Germany,DEU,2003,29875.02793,PISAMATH,TOT,503.0
138,Germany,DEU,2003,29875.02793,PISAREAD,BOY,471.0
139,Germany,DEU,2003,29875.02793,PISAREAD,GIRL,513.0
140,Germany,DEU,2003,29875.02793,PISAREAD,TOT,491.0
141,Denmark,DNK,2003,30786.24895,PISAMATH,BOY,523.0
142,Denmark,DNK,2003,30786.24895,PISAMATH,GIRL,506.0
143,Denmark,DNK,2003,30786.24895,PISAMATH,TOT,514.0
144,Denmark,DNK,2003,30786.24895,PISAREAD,BOY,479.0
145,Denmark,DNK,2003,30786.24895,PISAREAD,GIRL,505.0
146,Denmark,DNK,2003,30786.24895,PISAREAD,TOT,492.0
147,Spain,ESP,2003,25018.36612,PISAMATH,BOY,490.0
148,Spain,ESP,2003,25018.36612,PISAMATH,GIRL,481.0
149,Spain,ESP,2003,25018.36612,PISAMATH,TOT,485.0
